sequence_id,host_type,length,accession
OP076032.1_bacteria,bacteria,26540,OP076032.1
OP075965.1_bacteria,bacteria,39477,OP075965.1
OP075949.1_bacteria,bacteria,21727,OP075949.1
OP075896.1_bacteria,bacteria,45704,OP075896.1
OP075890.1_bacteria,bacteria,48183,OP075890.1
OP075853.1_bacteria,bacteria,67217,OP075853.1
OP075810.1_bacteria,bacteria,37284,OP075810.1
OP075766.1_bacteria,bacteria,49923,OP075766.1
OP075639.1_bacteria,bacteria,42926,OP075639.1
OP075619.1_bacteria,bacteria,40015,OP075619.1
OP075608.1_bacteria,bacteria,45873,OP075608.1
OP075606.1_bacteria,bacteria,72789,OP075606.1
OP075414.1_bacteria,bacteria,40396,OP075414.1
OP075365.1_bacteria,bacteria,21010,OP075365.1
OP075283.1_bacteria,bacteria,58922,OP075283.1
OP075274.1_bacteria,bacteria,174278,OP075274.1
OP075271.1_bacteria,bacteria,39057,OP075271.1
OP075241.1_bacteria,bacteria,139271,OP075241.1
OP075131.1_bacteria,bacteria,42040,OP075131.1
OP075057.1_bacteria,bacteria,25599,OP075057.1
OP075049.1_bacteria,bacteria,48560,OP075049.1
OP074999.1_bacteria,bacteria,50731,OP074999.1
PZ016983.1_plant,plant,10074,PZ016983.1
PZ016976.1_plant,plant,9565,PZ016976.1
PZ016975.1_plant,plant,9565,PZ016975.1
PZ016974.1_plant,plant,9560,PZ016974.1
PZ016973.1_plant,plant,9558,PZ016973.1
PZ016972.1_plant,plant,9565,PZ016972.1
PX965615.1_plant,plant,9401,PX965615.1
PX935690.1_plant,plant,8527,PX935690.1
PX935689.1_plant,plant,8544,PX935689.1
PX935688.1_plant,plant,8526,PX935688.1
PX935687.1_plant,plant,8525,PX935687.1
PX896214.1_plant,plant,8484,PX896214.1
PX896213.1_plant,plant,8455,PX896213.1
PX896212.1_plant,plant,8426,PX896212.1
PX896210.1_plant,plant,8488,PX896210.1
PX896207.1_plant,plant,8489,PX896207.1
PX896206.1_plant,plant,8494,PX896206.1
PX905965.1_plant,plant,8489,PX905965.1
PX905964.1_plant,plant,8485,PX905964.1
PX905963.1_plant,plant,8460,PX905963.1
PX879950.1_plant,plant,8462,PX879950.1
PX879948.1_plant,plant,8488,PX879948.1
PX879947.1_plant,plant,8488,PX879947.1
PX412243.1_plant,plant,5606,PX412243.1
OR906323.1_plant,plant,8794,OR906323.1
PX761454.1_plant,plant,3441,PX761454.1
PX681986.1_plant,plant,9699,PX681986.1
PX681985.1_plant,plant,9696,PX681985.1
PX756901.1_plant,plant,2763,PX756901.1
PX752255.1_plant,plant,2781,PX752255.1
PX692073.1_plant,plant,5781,PX692073.1
PX226659.1_plant,plant,6334,PX226659.1
PX633046.1_plant,plant,2781,PX633046.1
PV978368.1_plant,plant,6380,PV978368.1
PV978367.1_plant,plant,6389,PV978367.1
PX922707.1_plant,plant,6393,PX922707.1
PX922706.1_plant,plant,6411,PX922706.1
PX922705.1_plant,plant,6436,PX922705.1
PX922704.1_plant,plant,6438,PX922704.1
PX922703.1_plant,plant,6468,PX922703.1
PX922702.1_plant,plant,6445,PX922702.1
PX922701.1_plant,plant,6446,PX922701.1
PX922700.1_plant,plant,8502,PX922700.1
PX872518.1_plant,plant,8488,PX872518.1
OZ369212.1_plant,plant,200215,OZ369212.1
PX635361.1_plant,plant,2760,PX635361.1
PX505951.1_plant,plant,9693,PX505951.1
PX505950.1_plant,plant,9673,PX505950.1
PX505949.1_plant,plant,6412,PX505949.1
PX505948.1_plant,plant,6410,PX505948.1
PX505947.1_plant,plant,8990,PX505947.1
PX505946.1_plant,plant,6388,PX505946.1
PX505945.1_plant,plant,6388,PX505945.1
PX593795.1_plant,plant,6384,PX593795.1
PX593794.1_plant,plant,6384,PX593794.1
PX593793.1_plant,plant,6384,PX593793.1
PX513837.1_plant,plant,2781,PX513837.1
PV974340.1_plant,plant,9577,PV974340.1
PV974339.1_plant,plant,9563,PV974339.1
PV974337.1_plant,plant,9604,PV974337.1
PV974336.1_plant,plant,9607,PV974336.1
PV974329.1_plant,plant,9550,PV974329.1
PV974328.1_plant,plant,9608,PV974328.1
PV974327.1_plant,plant,9570,PV974327.1
PV974323.1_plant,plant,9561,PV974323.1
PV974322.1_plant,plant,9558,PV974322.1
PV974319.1_plant,plant,4393,PV974319.1
PV974318.1_plant,plant,4393,PV974318.1
PV974316.1_plant,plant,4392,PV974316.1
PV974315.1_plant,plant,4397,PV974315.1
PV974314.1_plant,plant,4393,PV974314.1
PV974313.1_plant,plant,4393,PV974313.1
PV974312.1_plant,plant,4391,PV974312.1
PV974311.1_plant,plant,4390,PV974311.1
PV974310.1_plant,plant,4377,PV974310.1
PV974309.1_plant,plant,4395,PV974309.1
PV974308.1_plant,plant,4394,PV974308.1
PV974307.1_plant,plant,4397,PV974307.1
PV974306.1_plant,plant,5596,PV974306.1
PV974305.1_plant,plant,5613,PV974305.1
PV974304.1_plant,plant,5609,PV974304.1
PV974303.1_plant,plant,5600,PV974303.1
PV974302.1_plant,plant,5594,PV974302.1
PV974301.1_plant,plant,5599,PV974301.1
PV974300.1_plant,plant,5599,PV974300.1
PV974299.1_plant,plant,5606,PV974299.1
PV974298.1_plant,plant,5596,PV974298.1
PV974297.1_plant,plant,5601,PV974297.1
PV974296.1_plant,plant,5593,PV974296.1
PV974295.1_plant,plant,5593,PV974295.1
PV974294.1_plant,plant,5596,PV974294.1
PV974293.1_plant,plant,5599,PV974293.1
PV389049.1_plant,plant,6391,PV389049.1
PV389048.1_plant,plant,6368,PV389048.1
PV389047.1_plant,plant,6381,PV389047.1
PV389046.1_plant,plant,6384,PV389046.1
PV389045.1_plant,plant,6361,PV389045.1
PV389044.1_plant,plant,6367,PV389044.1
PV389043.1_plant,plant,6379,PV389043.1
PV389042.1_plant,plant,6363,PV389042.1
PV389041.1_plant,plant,6348,PV389041.1
PV389040.1_plant,plant,6369,PV389040.1
PV389039.1_plant,plant,6367,PV389039.1
PV389038.1_plant,plant,6365,PV389038.1
PV389037.1_plant,plant,6376,PV389037.1
PV389036.1_plant,plant,6367,PV389036.1
PV389035.1_plant,plant,6355,PV389035.1
PV389034.1_plant,plant,6350,PV389034.1
PV389033.1_plant,plant,6374,PV389033.1
PV389032.1_plant,plant,6367,PV389032.1
PV389031.1_plant,plant,6366,PV389031.1
PV389030.1_plant,plant,6362,PV389030.1
PV389029.1_plant,plant,6374,PV389029.1
PV389028.1_plant,plant,6357,PV389028.1
PV389027.1_plant,plant,6390,PV389027.1
PV389026.1_plant,plant,6362,PV389026.1
PV389025.1_plant,plant,6376,PV389025.1
PV389024.1_plant,plant,6365,PV389024.1
PV389023.1_plant,plant,6347,PV389023.1
PV389022.1_plant,plant,6354,PV389022.1
PV389021.1_plant,plant,6365,PV389021.1
PV389020.1_plant,plant,6367,PV389020.1
PV389019.1_plant,plant,6369,PV389019.1
PV389018.1_plant,plant,6378,PV389018.1
PV389017.1_plant,plant,6380,PV389017.1
PV389016.1_plant,plant,6379,PV389016.1
PV389015.1_plant,plant,6379,PV389015.1
PV389014.1_plant,plant,6366,PV389014.1
PV389013.1_plant,plant,6361,PV389013.1
PV389012.1_plant,plant,6379,PV389012.1
PV389011.1_plant,plant,6367,PV389011.1
PV389010.1_plant,plant,6366,PV389010.1
PV389009.1_plant,plant,6378,PV389009.1
PV389008.1_plant,plant,6382,PV389008.1
PV389007.1_plant,plant,6354,PV389007.1
PV389006.1_plant,plant,6354,PV389006.1
PV389005.1_plant,plant,6354,PV389005.1
PQ554520.1_plant,plant,2781,PQ554520.1
PQ554519.1_plant,plant,2781,PQ554519.1
PQ554518.1_plant,plant,2781,PQ554518.1
PQ628197.1_plant,plant,6375,PQ628197.1
PQ424984.1_plant,plant,2879,PQ424984.1
PQ279516.1_plant,plant,4448,PQ279516.1
PQ279515.1_plant,plant,4458,PQ279515.1
PX375450.1_plant,plant,2791,PX375450.1
PX317654.1_plant,plant,7037,PX317654.1
PX317653.1_plant,plant,5882,PX317653.1
PX317652.1_plant,plant,8500,PX317652.1
PX317651.1_plant,plant,8485,PX317651.1
PX317650.1_plant,plant,9856,PX317650.1
NC_103145.1_invertebrate,invertebrate,51775,NC_103145.1
NC_107953.1_invertebrate,invertebrate,49144,NC_107953.1
NC_107952.1_invertebrate,invertebrate,50039,NC_107952.1
PX926923.1_invertebrate,invertebrate,8451,PX926923.1
PX782584.1_invertebrate,invertebrate,10143,PX782584.1
PX394756.1_invertebrate,invertebrate,10153,PX394756.1
PX628457.1_invertebrate,invertebrate,1831,PX628457.1
PX651953.1_invertebrate,invertebrate,11922,PX651953.1
PX843246.1_invertebrate,invertebrate,45196,PX843246.1
PX843245.1_invertebrate,invertebrate,63274,PX843245.1
PX843244.1_invertebrate,invertebrate,40737,PX843244.1
PX843243.1_invertebrate,invertebrate,42816,PX843243.1
PX843242.1_invertebrate,invertebrate,42855,PX843242.1
PX843241.1_invertebrate,invertebrate,43225,PX843241.1
PX585033.1_invertebrate,invertebrate,8804,PX585033.1
PX572653.1_invertebrate,invertebrate,11795,PX572653.1
PV585565.1_invertebrate,invertebrate,2052,PV585565.1
PV585567.1_invertebrate,invertebrate,2255,PV585567.1
PV585561.1_invertebrate,invertebrate,6480,PV585561.1
PV585563.1_invertebrate,invertebrate,7471,PV585563.1
LC902872.1_invertebrate,invertebrate,10831,LC902872.1
PV347098.2_invertebrate,invertebrate,488459,PV347098.2
PV600894.1_invertebrate,invertebrate,11528,PV600894.1
PQ810643.1_invertebrate,invertebrate,5877,PQ810643.1
PQ810642.1_invertebrate,invertebrate,5877,PQ810642.1
PQ810641.1_invertebrate,invertebrate,5928,PQ810641.1
PQ810640.1_invertebrate,invertebrate,5927,PQ810640.1
PQ810638.1_invertebrate,invertebrate,5928,PQ810638.1
PQ810637.1_invertebrate,invertebrate,5923,PQ810637.1
PQ223729.1_invertebrate,invertebrate,11061,PQ223729.1
PQ433001.1_invertebrate,invertebrate,10710,PQ433001.1
PQ295854.1_invertebrate,invertebrate,12570,PQ295854.1
PQ295853.1_invertebrate,invertebrate,12565,PQ295853.1
PQ305976.1_invertebrate,invertebrate,11179,PQ305976.1
PX309090.1_invertebrate,invertebrate,10111,PX309090.1
PX309089.1_invertebrate,invertebrate,10140,PX309089.1
GQ342961.1_invertebrate,invertebrate,6780,GQ342961.1
PV899697.1_invertebrate,invertebrate,13130,PV899697.1
LC710656.1_invertebrate,invertebrate,11227,LC710656.1
OQ418663.1_invertebrate,invertebrate,10953,OQ418663.1
PQ572747.1_invertebrate,invertebrate,8461,PQ572747.1
PV656429.1_invertebrate,invertebrate,8859,PV656429.1
PV593706.1_invertebrate,invertebrate,12348,PV593706.1
PV563872.1_invertebrate,invertebrate,10837,PV563872.1
PV563871.1_invertebrate,invertebrate,10837,PV563871.1
PV563870.1_invertebrate,invertebrate,10837,PV563870.1
PV563869.1_invertebrate,invertebrate,10837,PV563869.1
LC867272.1_invertebrate,invertebrate,126727,LC867272.1
GQ410979.1_invertebrate,invertebrate,12676,GQ410979.1
GQ375258.1_invertebrate,invertebrate,12625,GQ375258.1
PV165523.1_invertebrate,invertebrate,10050,PV165523.1
PV165522.1_invertebrate,invertebrate,11000,PV165522.1
JF411744.1_invertebrate,invertebrate,330611,JF411744.1
PQ655446.1_invertebrate,invertebrate,54625,PQ655446.1
PP418870.1_invertebrate,invertebrate,10173,PP418870.1
OR820583.1_invertebrate,invertebrate,9258,OR820583.1
OR820580.1_invertebrate,invertebrate,12599,OR820580.1
OR820564.1_invertebrate,invertebrate,6379,OR820564.1
PQ673601.1_invertebrate,invertebrate,11790,PQ673601.1
PP437989.1_invertebrate,invertebrate,10090,PP437989.1
PP437988.1_invertebrate,invertebrate,10134,PP437988.1
PP437987.1_invertebrate,invertebrate,10111,PP437987.1
PP437986.1_invertebrate,invertebrate,10154,PP437986.1
PP437985.1_invertebrate,invertebrate,10118,PP437985.1
PP437984.1_invertebrate,invertebrate,10116,PP437984.1
PP437983.1_invertebrate,invertebrate,10120,PP437983.1
PP437982.1_invertebrate,invertebrate,10062,PP437982.1
PP437981.1_invertebrate,invertebrate,10096,PP437981.1
PP437980.1_invertebrate,invertebrate,10065,PP437980.1
PP437979.1_invertebrate,invertebrate,10112,PP437979.1
PP437978.1_invertebrate,invertebrate,10140,PP437978.1
PP437977.1_invertebrate,invertebrate,10100,PP437977.1
PP437976.1_invertebrate,invertebrate,10111,PP437976.1
PP437975.1_invertebrate,invertebrate,10111,PP437975.1
PP437974.1_invertebrate,invertebrate,10163,PP437974.1
PP437973.1_invertebrate,invertebrate,10085,PP437973.1
PP437972.1_invertebrate,invertebrate,10149,PP437972.1
PP437971.1_invertebrate,invertebrate,10110,PP437971.1
PP437970.1_invertebrate,invertebrate,10169,PP437970.1
PP437969.1_invertebrate,invertebrate,10156,PP437969.1
PP437968.1_invertebrate,invertebrate,10183,PP437968.1
PP437967.1_invertebrate,invertebrate,10166,PP437967.1
PP437966.1_invertebrate,invertebrate,10181,PP437966.1
PP437965.1_invertebrate,invertebrate,10169,PP437965.1
PP437964.1_invertebrate,invertebrate,10137,PP437964.1
PP437963.1_invertebrate,invertebrate,10086,PP437963.1
PP437962.1_invertebrate,invertebrate,10166,PP437962.1
PP437961.1_invertebrate,invertebrate,10111,PP437961.1
PP437960.1_invertebrate,invertebrate,10119,PP437960.1
PP437959.1_invertebrate,invertebrate,10118,PP437959.1
PP437958.1_invertebrate,invertebrate,10150,PP437958.1
PP437957.1_invertebrate,invertebrate,10112,PP437957.1
PP437956.1_invertebrate,invertebrate,10116,PP437956.1
PP437955.1_invertebrate,invertebrate,10115,PP437955.1
PP437954.1_invertebrate,invertebrate,10099,PP437954.1
PP437953.1_invertebrate,invertebrate,10119,PP437953.1
PP437952.1_invertebrate,invertebrate,10101,PP437952.1
PP437951.1_invertebrate,invertebrate,10086,PP437951.1
PP437950.1_invertebrate,invertebrate,10085,PP437950.1
PP437949.1_invertebrate,invertebrate,10137,PP437949.1
PP437948.1_invertebrate,invertebrate,10164,PP437948.1
PP437947.1_invertebrate,invertebrate,10150,PP437947.1
PP437946.1_invertebrate,invertebrate,10142,PP437946.1
PP437945.1_invertebrate,invertebrate,10137,PP437945.1
PP437944.1_invertebrate,invertebrate,10148,PP437944.1
PP437943.1_invertebrate,invertebrate,10112,PP437943.1
PP437941.1_invertebrate,invertebrate,10104,PP437941.1
PP437940.1_invertebrate,invertebrate,10094,PP437940.1
PP437939.1_invertebrate,invertebrate,10092,PP437939.1
PP437938.1_invertebrate,invertebrate,10140,PP437938.1
PP437937.1_invertebrate,invertebrate,10137,PP437937.1
PP437936.1_invertebrate,invertebrate,10137,PP437936.1
PP437935.1_invertebrate,invertebrate,10137,PP437935.1
PP437934.1_invertebrate,invertebrate,10088,PP437934.1
PP437933.1_invertebrate,invertebrate,10145,PP437933.1
PP437932.1_invertebrate,invertebrate,10139,PP437932.1
PP437931.1_invertebrate,invertebrate,10110,PP437931.1
PP437930.1_invertebrate,invertebrate,10137,PP437930.1
PP437929.1_invertebrate,invertebrate,10100,PP437929.1
PP437928.1_invertebrate,invertebrate,10118,PP437928.1
PP437927.1_invertebrate,invertebrate,10107,PP437927.1
PP437926.1_invertebrate,invertebrate,10111,PP437926.1
PP437925.1_invertebrate,invertebrate,10077,PP437925.1
PP437924.1_invertebrate,invertebrate,10112,PP437924.1
PP437923.1_invertebrate,invertebrate,10076,PP437923.1
PP437922.1_invertebrate,invertebrate,10158,PP437922.1
PP437921.1_invertebrate,invertebrate,10111,PP437921.1
PP437920.1_invertebrate,invertebrate,10143,PP437920.1
PP437919.1_invertebrate,invertebrate,10111,PP437919.1
PP437918.1_invertebrate,invertebrate,10137,PP437918.1
PP437917.1_invertebrate,invertebrate,10111,PP437917.1
PP437916.1_invertebrate,invertebrate,10111,PP437916.1
PP437915.1_invertebrate,invertebrate,10112,PP437915.1
PP437914.1_invertebrate,invertebrate,10119,PP437914.1
PP437913.1_invertebrate,invertebrate,10131,PP437913.1
PP437912.1_invertebrate,invertebrate,10111,PP437912.1
PP437911.1_invertebrate,invertebrate,10112,PP437911.1
PP437910.1_invertebrate,invertebrate,10131,PP437910.1
PP437909.1_invertebrate,invertebrate,10134,PP437909.1
PP437908.1_invertebrate,invertebrate,10110,PP437908.1
PP437907.1_invertebrate,invertebrate,10114,PP437907.1
PP437906.1_invertebrate,invertebrate,10118,PP437906.1
PP437905.1_invertebrate,invertebrate,10111,PP437905.1
PP437904.1_invertebrate,invertebrate,10128,PP437904.1
PP437903.1_invertebrate,invertebrate,10129,PP437903.1
PP437902.1_invertebrate,invertebrate,10148,PP437902.1
PP437901.1_invertebrate,invertebrate,10109,PP437901.1
PP437900.1_invertebrate,invertebrate,10116,PP437900.1
PP437899.1_invertebrate,invertebrate,10141,PP437899.1
PP437898.1_invertebrate,invertebrate,10119,PP437898.1
