protein_id,accession,host_type,product,length
XOK27504.1,PQ067543.1,algae,AVR-Pii protein,191
XOK27505.1,PQ067543.1,algae,hypothetical protein,246
XOK27506.1,PQ067543.1,algae,Large-conductance mechanosensitive channel,102
XOK27507.1,PQ067543.1,algae,cytidine and deoxycytidylate deaminase,122
XOK27508.1,PQ067543.1,algae,Uncharacterized protein PF2048.1,97
XOK27509.1,PQ067543.1,algae,hypothetical protein,206
XOK27510.1,PQ067543.1,algae,transcription elongation factor S-II,185
XOK27511.1,PQ067543.1,algae,hypothetical protein,218
XOK27512.1,PQ067543.1,algae,GIY-YIG catalytic domain-containing endonuclease,155
XOK27513.1,PQ067543.1,algae,ORF1-ENCODED PROTEIN,299
XOK27514.1,PQ067543.1,algae,hypothetical protein,86
XOK27515.1,PQ067543.1,algae,UDP-N-acetyl-D-mannosamine dehydrogenase / UDP-glucose 6-dehydrogenase,380
XOK27516.1,PQ067543.1,algae,glycosyltransferases,525
XOK27517.1,PQ067543.1,algae,polysaccharide deacetylase,362
XOK27518.1,PQ067543.1,algae,tRNA(Ile)-lysidine synthase,502
XOK27519.1,PQ067543.1,algae,Nucleoporin NSP1,163
XOK27520.1,PQ067543.1,algae,tape-measure protein,112
XOK27521.1,PQ067543.1,algae,Uncharacterized lipoprotein YifL,71
XOK27522.1,PQ067543.1,algae,mRNA-capping enzyme,319
XOK27523.1,PQ067543.1,algae,ubiquitin carboxyl-terminal hydrolase,279
XOK27524.1,PQ067543.1,algae,Transcription initiation factor IIB,288
XOK27525.1,PQ067543.1,algae,hypothetical protein,126
XOK27526.1,PQ067543.1,algae,GIY-YIG catalytic domain-containing endonuclease,170
XOK27527.1,PQ067543.1,algae,hypothetical protein,160
XOK27528.1,PQ067543.1,algae,PBCV-specific basic adaptor domain-containing protein,566
XOK27529.1,PQ067543.1,algae,hypothetical protein,191
XOK27530.1,PQ067543.1,algae,hypothetical protein,89
XOK27531.1,PQ067543.1,algae,sCTP-23166,118
XOK27532.1,PQ067543.1,algae,potassium transporter,644
XOK27533.1,PQ067543.1,algae,hypothetical protein,105
XOK27534.1,PQ067543.1,algae,Potassium voltage-gated channel subfamily A member 3,118
XOK27535.1,PQ067543.1,algae,elongation factor 3,921
XOK27536.1,PQ067543.1,algae,hypothetical protein,106
XOK27537.1,PQ067543.1,algae,Chain length determinant protein,277
XOK27538.1,PQ067543.1,algae,ADP-ribosyltransferase,304
XOK27539.1,PQ067543.1,algae,putative membrane protein,120
XOK27540.1,PQ067543.1,algae,AN1-type zinc finger protein 5,59
XOK27541.1,PQ067543.1,algae,Ubiquitin carboxyl-terminal hydrolase 15,365
XOK27542.1,PQ067543.1,algae,tape-measure protein,1212
XOK27543.1,PQ067543.1,algae,hypothetical protein,104
XOK27544.1,PQ067543.1,algae,ATP-dependent helicase,448
XOK27545.1,PQ067543.1,algae,GIY-YIG catalytic domain-containing endonuclease,222
XOK27546.1,PQ067543.1,algae,PilO,125
XOK27547.1,PQ067543.1,algae,hypothetical protein,64
XOK27548.1,PQ067543.1,algae,hypothetical protein,95
XOK27549.1,PQ067543.1,algae,CD166 ANTIGEN,62
XOK27550.1,PQ067543.1,algae,hypothetical protein,80
XOK27551.1,PQ067543.1,algae,GIY-YIG catalytic domain-containing endonuclease,197
XOK27552.1,PQ067543.1,algae,hypothetical protein,150
XOK27553.1,PQ067543.1,algae,hypothetical protein,345
XOK27554.1,PQ067543.1,algae,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1#H dehydrogenase,330
XOK27555.1,PQ067543.1,algae,Uncharacterized protein R354,276
XOK27556.1,PQ067543.1,algae,hypothetical protein,172
XOK27557.1,PQ067543.1,algae,CMP/dCMP-type deaminase domain-containing protein,154
XOK27558.1,PQ067543.1,algae,HNH homing endonuclease,99
XOK27559.1,PQ067543.1,algae,lipid hydrolase,271
XOK27560.1,PQ067543.1,algae,serine/threonine-protein kinase,281
XOK27561.1,PQ067543.1,algae,serine/threonine-protein kinase,291
XOK27562.1,PQ067543.1,algae,HNH homing endonuclease,90
XOK27563.1,PQ067543.1,algae,helicase,707
XOK27564.1,PQ067543.1,algae,hypothetical protein,134
XOK27565.1,PQ067543.1,algae,homospermidine synthase,517
XOK27566.1,PQ067543.1,algae,HNH homing endonuclease,152
XOK27567.1,PQ067543.1,algae,Potassium voltage-gated channel subfamily KQT member 1,72
XOK27568.1,PQ067543.1,algae,transposase,208
XOK27569.1,PQ067543.1,algae,Prefoldin subunit 4,135
XOK27570.1,PQ067543.1,algae,serine/threonine-protein kinase,306
XOK27571.1,PQ067543.1,algae,PBCV-specific basic adaptor domain-containing protein,554
XOK27572.1,PQ067543.1,algae,Histone-lysine N-methyltransferase,115
XOK27573.1,PQ067543.1,algae,UDP-N-acetyl-D-mannosamine dehydrogenase / UDP-glucose 6-dehydrogenase,392
XOK27574.1,PQ067543.1,algae,ankyrin repeat-containing protein,378
XOK27575.1,PQ067543.1,algae,tape-measure protein,87
XOK27576.1,PQ067543.1,algae,hypothetical protein,108
XOK27578.1,PQ067543.1,algae,hypothetical protein,116
XOK27579.1,PQ067543.1,algae,ADP-ribosyltransferase,450
XOK27580.1,PQ067543.1,algae,major capsid protein VP54,508
XOK27581.1,PQ067543.1,algae,DNA topoisomerase II,562
XOK27582.1,PQ067543.1,algae,GIY-YIG catalytic domain-containing endonuclease,183
XOK27583.1,PQ067543.1,algae,DNA topoisomerase II,497
XOK27584.1,PQ067543.1,algae,GIY-YIG catalytic domain-containing endonuclease,251
XOK27585.1,PQ067543.1,algae,hypothetical protein,135
XOK27586.1,PQ067543.1,algae,Calcium-activated potassium channel subunit beta-4,161
XOK27587.1,PQ067543.1,algae,GDP-L-fucose synthase 2,350
XOK27588.1,PQ067543.1,algae,Motility Associated Killing Factor E,80
XOK27589.1,PQ067543.1,algae,hypothetical protein,173
XOK27590.1,PQ067543.1,algae,multiprotein-bridging factor,121
XOK27591.1,PQ067543.1,algae,Proliferating cell nuclear antigen,261
XOK27592.1,PQ067543.1,algae,tape-measure protein,183
XOK27593.1,PQ067543.1,algae,E3 ubiquitin-protein ligase Hakai,141
XOK27594.1,PQ067543.1,algae,hypothetical protein,212
XOK27595.1,PQ067543.1,algae,hypothetical protein,153
XOK27596.1,PQ067543.1,algae,tape-measure protein,649
XOK27597.1,PQ067543.1,algae,Alginate lyase,568
XOK27598.1,PQ067543.1,algae,DotF,215
XOK27599.1,PQ067543.1,algae,major capsid protein VP54,373
XOK27600.1,PQ067543.1,algae,transcription factor TFIID,270
XOK27601.1,PQ067543.1,algae,dUTP pyrophosphatase,140
XOK27602.1,PQ067543.1,algae,Chlorovirus glycoprotein repeat domain-containing protein,1238
XOK27603.1,PQ067543.1,algae,GIY-YIG catalytic domain-containing endonuclease,180
XOK27604.1,PQ067543.1,algae,tape-measure protein,81
XOK27605.1,PQ067543.1,algae,hypothetical protein,89
XOK27606.1,PQ067543.1,algae,tape-measure protein,528
XOK27608.1,PQ067543.1,algae,Protocadherin-15,83
XOK27609.1,PQ067543.1,algae,Membrane cofactor protein,73
XOK27610.1,PQ067543.1,algae,hypothetical protein,88
XOK27611.1,PQ067543.1,algae,tape-measure protein,145
XOK27612.1,PQ067543.1,algae,tape-measure protein,184
XOK27613.1,PQ067543.1,algae,tape-measure protein,267
XOK27614.1,PQ067543.1,algae,tape-measure protein,200
XOK27615.1,PQ067543.1,algae,thioredoxin,108
XOK27616.1,PQ067543.1,algae,tape-measure protein,209
XOK27617.1,PQ067543.1,algae,hypothetical protein,239
XOK27618.1,PQ067543.1,algae,hypothetical protein,253
XOK27619.1,PQ067543.1,algae,Phage-related protein,182
XOK27620.1,PQ067543.1,algae,hypothetical protein,169
XOK27621.1,PQ067543.1,algae,HNH homing endonuclease,351
XOK27622.1,PQ067543.1,algae,hypothetical protein,105
XOK27623.1,PQ067543.1,algae,hypothetical protein,70
XOK27624.1,PQ067543.1,algae,Deoxynucleoside kinase,199
XOK27625.1,PQ067543.1,algae,replication factor C,369
XOK27626.1,PQ067543.1,algae,HNH homing endonuclease,344
XOK27627.1,PQ067543.1,algae,hypothetical protein,71
XOK27628.1,PQ067543.1,algae,tape-measure protein,92
XOK27629.1,PQ067543.1,algae,Alginate lyase,617
XOK27630.1,PQ067543.1,algae,hypothetical protein,64
XOK27631.1,PQ067543.1,algae,hypothetical protein,163
XOK27632.1,PQ067543.1,algae,hypothetical protein,121
XOK27633.1,PQ067543.1,algae,hypothetical protein,117
XOK27634.1,PQ067543.1,algae,restriction endonuclease PacI,209
XOK27635.1,PQ067543.1,algae,hypothetical protein,184
XOK27636.1,PQ067543.1,algae,Genome packaging NTPase B204,254
XOK27637.1,PQ067543.1,algae,Thrombomodulin,659
XOK27638.1,PQ067543.1,algae,GIY-YIG catalytic domain-containing endonuclease,242
XOK27639.1,PQ067543.1,algae,cellulose synthase catalytic subunit,611
XOK27640.1,PQ067543.1,algae,histidine decarboxylase,351
XOK27641.1,PQ067543.1,algae,cellulose synthase catalytic subunit,548
XOK27642.1,PQ067543.1,algae,hypothetical protein,50
XOK27643.1,PQ067543.1,algae,hypothetical protein,68
XOK27644.1,PQ067543.1,algae,thioredoxin,112
XOK27645.1,PQ067543.1,algae,hypothetical protein,122
XOK27646.1,PQ067543.1,algae,Cerato-platanin-like protein,62
XOK27648.1,PQ067543.1,algae,hypothetical protein,245
XOK27649.1,PQ067543.1,algae,Meckelin,263
XOK27650.1,PQ067543.1,algae,Meckelin,111
XOK27651.1,PQ067543.1,algae,tape-measure protein5 isoform 1,303
XOK27652.1,PQ067543.1,algae,Ubiquitin carboxyl-terminal hydrolase 15,439
XOK27653.1,PQ067543.1,algae,Monoglyceride lipase,276
XOK27654.1,PQ067543.1,algae,hypothetical protein,388
XOK27655.1,PQ067543.1,algae,hypothetical protein,93
XOK27656.1,PQ067543.1,algae,hypothetical protein,245
XOK27657.1,PQ067543.1,algae,GIY-YIG catalytic domain-containing endonuclease,135
XOK27658.1,PQ067543.1,algae,GIY-YIG catalytic domain-containing endonuclease,119
XOK27659.1,PQ067543.1,algae,hypothetical protein,488
XOK27660.1,PQ067543.1,algae,hypothetical protein,153
XOK27661.1,PQ067543.1,algae,chitin binding and barwin-like domain-containing protein,487
XOK27662.1,PQ067543.1,algae,Ubiquitin,586
XOK27663.1,PQ067543.1,algae,hypothetical protein,83
XOK27664.1,PQ067543.1,algae,hypothetical protein,68
XOK27665.1,PQ067543.1,algae,GIY-YIG catalytic domain-containing endonuclease,213
XOK27666.1,PQ067543.1,algae,tape-measure protein,194
XOK27667.1,PQ067543.1,algae,NICKEL AND COBALT RESISTANCE PROTEIN CNRR,93
XOK27668.1,PQ067543.1,algae,Uncharacterized protein AbaSI,349
XOK27669.1,PQ067543.1,algae,Putative glycosyltransferase protein,230
XOK27670.1,PQ067543.1,algae,GIY-YIG catalytic domain-containing endonuclease,298
XOK27671.1,PQ067543.1,algae,A197,293
XOK27672.1,PQ067543.1,algae,hypothetical protein,118
XOK27673.1,PQ067543.1,algae,Reverse transcriptase/ribonuclease H,166
XOK27674.1,PQ067543.1,algae,"Host-nuclease inhibitor protein Gam, putative",118
XOK27675.1,PQ067543.1,algae,HNH homing endonuclease,350
XOK27676.1,PQ067543.1,algae,transferase,221
XOK27677.1,PQ067543.1,algae,WbbM protein,248
XOK27678.1,PQ067543.1,algae,hypothetical protein,52
XOK27679.1,PQ067543.1,algae,E3 ubiquitin ligase complex SCF subunit,145
XOK27680.1,PQ067543.1,algae,hypothetical protein,452
XOK27681.1,PQ067543.1,algae,Cathelicidin antimicrobial peptide,148
XOK27682.1,PQ067543.1,algae,Poxvirus Late Transcription Factor VLTF3 like,360
XOK27683.1,PQ067543.1,algae,hypothetical protein,178
XOK27684.1,PQ067543.1,algae,BACTERIORHODOPSIN,78
XOK27685.1,PQ067543.1,algae,hypothetical protein,319
XOK27686.1,PQ067543.1,algae,hypothetical protein,144
XOK27687.1,PQ067543.1,algae,endonuclease V,87
XOK27688.1,PQ067543.1,algae,Uncharacterized protein YuiC,190
XOK27689.1,PQ067543.1,algae,Protein kinase,121
XOK27690.1,PQ067543.1,algae,Protein kinase,125
XOK27691.1,PQ067543.1,algae,Aquaporin,270
XOK27692.1,PQ067543.1,algae,D-lactate dehydrogenase,346
XOK27693.1,PQ067543.1,algae,tape-measure protein,89
XOK27694.1,PQ067543.1,algae,E3 ubiquitin-protein ligase RNF25,222
XOK27695.1,PQ067543.1,algae,MYM-type zinc finger with FCS sequence motif,218
XOK27696.1,PQ067543.1,algae,tape-measure protein,155
XOK27697.1,PQ067543.1,algae,hypothetical protein,61
XOK27698.1,PQ067543.1,algae,hypothetical protein,102
XOK27699.1,PQ067543.1,algae,GDP-L-fucose synthase 2,319
XOK27700.1,PQ067543.1,algae,major capsid protein VP54,438
XOK27701.1,PQ067543.1,algae,hypothetical protein,264
XOK27702.1,PQ067543.1,algae,hypothetical protein,105
XOK27703.1,PQ067543.1,algae,GIY-YIG catalytic domain-containing endonuclease,213
XOK27704.1,PQ067543.1,algae,tape-measure protein,213
XOK27705.1,PQ067543.1,algae,Phage-related protein,335
XOK27706.1,PQ067543.1,algae,Transcription regulatory protein SNF2,1157
XOK27707.1,PQ067543.1,algae,PfHAD1,91
XOK27708.1,PQ067543.1,algae,hypothetical protein,101
XOK27709.1,PQ067543.1,algae,SPAC19A8.12,205
XOK27710.1,PQ067543.1,algae,hypothetical protein,426
XOK27711.1,PQ067543.1,algae,hypothetical protein,181
XOK27712.1,PQ067543.1,algae,hypothetical protein,113
XOK27713.1,PQ067543.1,algae,hypothetical protein,114
XOK27714.1,PQ067543.1,algae,Putative periplasmic protein,212
XOK27715.1,PQ067543.1,algae,mRNA-capping enzyme,233
XOK27716.1,PQ067543.1,algae,tape-measure protein,82
XOK27717.1,PQ067543.1,algae,Tax1-binding protein 1,69
XOK27718.1,PQ067543.1,algae,Phage-related protein,292
XOK27719.1,PQ067543.1,algae,Phage-related protein,239
XOK27720.1,PQ067543.1,algae,tape-measure protein,167
XOK27721.1,PQ067543.1,algae,hypothetical protein,86
XOK27722.1,PQ067543.1,algae,hypothetical protein,58
XOK27723.1,PQ067543.1,algae,HNH homing endonuclease,84
XOK27724.1,PQ067543.1,algae,dual specificity protein phosphatase,191
XOK27725.1,PQ067543.1,algae,CalS11,209
XOK27726.1,PQ067543.1,algae,hypothetical protein,196
XOK27727.1,PQ067543.1,algae,Methyltransferase FkbM,224
XOK27728.1,PQ067543.1,algae,hypothetical protein,156
XOK27729.1,PQ067543.1,algae,chitosanase,335
XOK27730.1,PQ067543.1,algae,ubiquitin-60S ribosomal protein L40,101
XOK27731.1,PQ067543.1,algae,hypothetical protein,244
XOK27732.1,PQ067543.1,algae,PBCV-specific basic adaptor domain-containing protein,113
XOK27733.1,PQ067543.1,algae,hypothetical protein,153
XOK27734.1,PQ067543.1,algae,Thaumatin I,220
XOK27735.1,PQ067543.1,algae,tape-measure protein,355
XOK27736.1,PQ067543.1,algae,Superoxide dismutase,158
XOK27737.1,PQ067543.1,algae,CHLORELLA VIRUS DNA LIGASE-ADENYLATE,300
XOK27738.1,PQ067543.1,algae,tape-measure protein,515
XOK27739.1,PQ067543.1,algae,cellulose synthase catalytic subunit,526
XOK27740.1,PQ067543.1,algae,Choloylglycine hydrolase,278
XOK27741.1,PQ067543.1,algae,ENDONUCLEASE II,198
XOK27742.1,PQ067543.1,algae,N-carbamoylputrescine amidohydrolase,299
XOK27743.1,PQ067543.1,algae,hypothetical protein,87
XOK27744.1,PQ067543.1,algae,hypothetical protein,156
XOK27745.1,PQ067543.1,algae,tape-measure protein,185
XOK27746.1,PQ067543.1,algae,Poxvirus A22-like protein,244
XOK27747.1,PQ067543.1,algae,sCTP-23166,80
XOK27748.1,PQ067543.1,algae,hypothetical protein,73
XOK27749.1,PQ067543.1,algae,Glycerophosphoryl diester phosphodiesterase,152
XOK27750.1,PQ067543.1,algae,Nucleotidyl transferase,450
XOK27751.1,PQ067543.1,algae,hypothetical protein,259
XOK27752.1,PQ067543.1,algae,hypothetical protein,123
XOK27753.1,PQ067543.1,algae,major capsid protein VP54,522
XOK27754.1,PQ067543.1,algae,Thaumatin I,303
XOK27755.1,PQ067543.1,algae,hypothetical protein,110
XOK27756.1,PQ067543.1,algae,A654L protein,193
XOK27757.1,PQ067543.1,algae,Polypeptide N-acetylgalactosaminyltransferase 2,384
XOK27758.1,PQ067543.1,algae,Thioredoxin glutathione reductase,85
XOK27759.1,PQ067543.1,algae,tape-measure protein,173
XOK27760.1,PQ067543.1,algae,GCN1,300
XOK27761.1,PQ067543.1,algae,AmbP1,138
XOK27762.1,PQ067543.1,algae,SAM-dependent methyltransferase,235
XOK27764.1,PQ067543.1,algae,hypothetical protein,120
XOK27765.1,PQ067543.1,algae,Thioredoxin glutathione reductase,76
XOK27766.1,PQ067543.1,algae,chromosomal protein MC1,97
XOK27767.1,PQ067543.1,algae,PBCV-specific basic adaptor domain-containing protein,57
XOK27768.1,PQ067543.1,algae,MCM10 minichromosome maintenance deficient 10,153
XOK27769.1,PQ067543.1,algae,glycosyl transferase,845
XOK27770.1,PQ067543.1,algae,Fibronectin/fibrinogen binding protein,108
XOK27771.1,PQ067543.1,algae,tape-measure protein,1379
XOK27772.1,PQ067543.1,algae,GIY-YIG catalytic domain-containing endonuclease,74
XOK27773.1,PQ067543.1,algae,hypothetical protein,130
XOK27774.1,PQ067543.1,algae,HNH homing endonuclease,233
XOK27775.1,PQ067543.1,algae,HNH homing endonuclease,113
XOK27776.1,PQ067543.1,algae,tape-measure protein,560
XOK27777.1,PQ067543.1,algae,hypothetical protein,140
XOK27778.1,PQ067543.1,algae,ribonucleotide reductase large subunit,794
XOK27779.1,PQ067543.1,algae,hypothetical protein,135
XOK27780.1,PQ067543.1,algae,HNH homing endonuclease,181
XOK27781.1,PQ067543.1,algae,hypothetical protein,116
XOK27782.1,PQ067543.1,algae,hypothetical protein,131
XOK27783.1,PQ067543.1,algae,hypothetical protein,667
XOK27784.1,PQ067543.1,algae,Eukaryotic translation initiation factor 3 subunit B,98
XOK27785.1,PQ067543.1,algae,protein kinase,459
XOK27786.1,PQ067543.1,algae,mRNA capping enzyme beta chain,203
XOK27787.1,PQ067543.1,algae,Protein phosphatase 1 regulatory subunit 3A,163
XOK27788.1,PQ067543.1,algae,protein disulfide isomerase,106
XOK27789.1,PQ067543.1,algae,Mpv17 / PMP22 family protein,157
XOK27790.1,PQ067543.1,algae,glycerophosphoryl diester phosphodiesterase,222
XOK27791.1,PQ067543.1,algae,HNH homing endonuclease,104
XOK27792.1,PQ067543.1,algae,hypothetical protein,240
XOK27793.1,PQ067543.1,algae,GIY-YIG catalytic domain-containing endonuclease,263
XOK27794.1,PQ067543.1,algae,tape-measure protein,290
XOK27795.1,PQ067543.1,algae,ATPase,653
XOK27796.1,PQ067543.1,algae,RNase III,267
XOK27797.1,PQ067543.1,algae,FAD-linked sulfhydryl oxidase,116
XOK27798.1,PQ067543.1,algae,Exonuclease,304
XOK27799.1,PQ067543.1,algae,DNA primase,424
XOK27800.1,PQ067543.1,algae,tape-measure protein,241
XOK27801.1,PQ067543.1,algae,HNH homing endonuclease,106
XOK27802.1,PQ067543.1,algae,hypothetical protein,126
XOK27803.1,PQ067543.1,algae,hypothetical protein,234
XOK27804.1,PQ067543.1,algae,hypothetical protein,170
XOK27805.1,PQ067543.1,algae,cytosine-specific methyltransferase,349
XOK27806.1,PQ067543.1,algae,ribonucleoside-diphosphate reductase small subunit,325
XOK27807.1,PQ067543.1,algae,hypothetical protein,267
XOK27808.1,PQ067543.1,algae,Ankyrin-2,442
XOK27809.1,PQ067543.1,algae,Mundticin KS immunity protein,82
XOK27810.1,PQ067543.1,algae,hypothetical protein,153
XOK27811.1,PQ067543.1,algae,hypothetical protein,113
XOK27812.1,PQ067543.1,algae,hypothetical protein,210
XOK27813.1,PQ067543.1,algae,hypothetical protein,179
XOK27814.1,PQ067543.1,algae,PBCV-specific basic adaptor domain-containing protein,75
WZO95216.1,PP681914.1,algae,elongation factor 3,119
WZO95217.1,PP681914.1,algae,hypothetical protein,87
WZO95218.1,PP681914.1,algae,hypothetical protein,160
WZO95219.1,PP681914.1,algae,"calcium-transporting ATPase, plasma membrane-type",870
WZO95220.1,PP681914.1,algae,hypothetical protein,159
WZO95221.1,PP681914.1,algae,hypothetical protein,156
WZO95222.1,PP681914.1,algae,Mpv17/PMP22 family protein,170
WZO95223.1,PP681914.1,algae,hypothetical protein,189
WZO95224.1,PP681914.1,algae,hypothetical protein,238
WZO95225.1,PP681914.1,algae,hypothetical protein,254
WZO95226.1,PP681914.1,algae,hypothetical protein,125
WZO95227.1,PP681914.1,algae,P8 mCP,85
WZO95228.1,PP681914.1,algae,P8 mCP,75
WZO95229.1,PP681914.1,algae,ORFan,157
WZO95230.1,PP681914.1,algae,hypothetical protein,127
WZO95231.1,PP681914.1,algae,hypothetical protein,145
WZO95232.1,PP681914.1,algae,ORFan,61
WZO95233.1,PP681914.1,algae,hypothetical protein,87
WZO95234.1,PP681914.1,algae,restriction endonuclease PacI,297
WZO95235.1,PP681914.1,algae,hypothetical protein,120
WZO95236.1,PP681914.1,algae,ribonucleotide reductase large subunit,674
WZO95237.1,PP681914.1,algae,ribonucleotide reductase large subunit,111
WZO95238.1,PP681914.1,algae,hypothetical protein,106
WZO95239.1,PP681914.1,algae,ubiquitin carboxyl-terminal hydrolase 15,438
WZO95240.1,PP681914.1,algae,hypothetical protein,167
WZO95241.1,PP681914.1,algae,hypothetical protein,450
WZO95242.1,PP681914.1,algae,MCPv1,487
WZO95243.1,PP681914.1,algae,restriction endonuclease PacI,299
WZO95244.1,PP681914.1,algae,potassium channel protein,118
WZO95245.1,PP681914.1,algae,hypothetical protein,83
WZO95246.1,PP681914.1,algae,transposase,243
WZO95247.1,PP681914.1,algae,hypothetical protein,124
WZO95248.1,PP681914.1,algae,ser/Thr protein kinase,323
WZO95249.1,PP681914.1,algae,ser/Thr protein kinase,564
WZO95250.1,PP681914.1,algae,histone H3K27 methylase,119
WZO95251.1,PP681914.1,algae,UDP-glucose dehydrogenase,389
WZO95252.1,PP681914.1,algae,ankyrin repeat domain-containing protein,390
WZO95253.1,PP681914.1,algae,hypothetical protein,158
WZO95254.1,PP681914.1,algae,Zn metallopeptidase,163
WZO95256.1,PP681914.1,algae,hypothetical protein,106
WZO95257.1,PP681914.1,algae,hypothetical protein,140
WZO95258.1,PP681914.1,algae,ubiquitin,78
WZO95259.1,PP681914.1,algae,hypothetical protein,96
WZO95260.1,PP681914.1,algae,major capsid protein Vp54,401
WZO95261.1,PP681914.1,algae,histidine decarboxylase,363
WZO95262.1,PP681914.1,algae,dCMP deaminase,142
WZO95263.1,PP681914.1,algae,hypothetical protein,288
WZO95264.1,PP681914.1,algae,B-cell receptor-associated protein 29,60
WZO95265.1,PP681914.1,algae,intron-associated endonuclease 1,301
WZO95266.1,PP681914.1,algae,DNA topoisomerase II large subunit,1061
WZO95267.1,PP681914.1,algae,hypothetical protein,278
WZO95268.1,PP681914.1,algae,hypothetical protein,133
WZO95269.1,PP681914.1,algae,hypothetical protein,168
WZO95270.1,PP681914.1,algae,proliferating cellular nuclear antigen,248
WZO95271.1,PP681914.1,algae,P4 mCP,181
WZO95272.1,PP681914.1,algae,PBCV-specific basic adaptor domain-containing protein/2-cysteine adaptor,116
WZO95273.1,PP681914.1,algae,hypothetical protein,78
WZO95274.1,PP681914.1,algae,hypothetical protein,184
WZO95275.1,PP681914.1,algae,hypothetical protein,141
WZO95276.1,PP681914.1,algae,P7 mCP,681
WZO95277.1,PP681914.1,algae,DNA-binding protein,670
WZO95278.1,PP681914.1,algae,hypothetical protein,223
WZO95279.1,PP681914.1,algae,MCPv5,400
WZO95280.1,PP681914.1,algae,tRNA(Ile)-lysidine synthase,498
WZO95281.1,PP681914.1,algae,transcription factor TFIID,317
WZO95282.1,PP681914.1,algae,dUTPase,141
WZO95283.1,PP681914.1,algae,ATP-dependent SNF2 helicase,475
WZO95284.1,PP681914.1,algae,glycosyltransferase,376
WZO95285.1,PP681914.1,algae,ATP-dependent DNA ligase,298
WZO95286.1,PP681914.1,algae,glycoprotein repeat domain-containing protein,1196
WZO95287.1,PP681914.1,algae,GIY-YIG catalytic domain-containing endonuclease,181
WZO95288.1,PP681914.1,algae,hypothetical protein,271
WZO95289.1,PP681914.1,algae,P7 mCP,74
WZO95290.1,PP681914.1,algae,hypothetical protein,74
WZO95291.1,PP681914.1,algae,P1v1 mCP,531
WZO95292.1,PP681914.1,algae,hypothetical protein,50
WZO95293.1,PP681914.1,algae,potassium voltage-gated channel protein,79
WZO95294.1,PP681914.1,algae,P13 mCP,64
WZO95295.1,PP681914.1,algae,DNA methyltransferase,352
WZO95296.1,PP681914.1,algae,hypothetical protein,90
WZO95297.1,PP681914.1,algae,hypothetical protein,90
WZO95298.1,PP681914.1,algae,P5 mCP,146
WZO95299.1,PP681914.1,algae,P3 mCP,181
WZO95300.1,PP681914.1,algae,P4 mCP,205
WZO95301.1,PP681914.1,algae,Zn metallopeptidase,182
WZO95302.1,PP681914.1,algae,hypothetical protein,99
WZO95303.1,PP681914.1,algae,hypothetical protein,82
WZO95304.1,PP681914.1,algae,hypothetical protein,489
WZO95305.1,PP681914.1,algae,hypothetical protein,279
WZO95306.1,PP681914.1,algae,hypothetical protein,95
WZO95307.1,PP681914.1,algae,P14 mCP,354
WZO95308.1,PP681914.1,algae,hypothetical protein,146
WZO95309.1,PP681914.1,algae,pox VLTF3 late transcription factor,364
WZO95310.1,PP681914.1,algae,hypothetical protein,181
WZO95311.1,PP681914.1,algae,hypothetical protein,76
WZO95312.1,PP681914.1,algae,hypothetical protein,319
WZO95313.1,PP681914.1,algae,hypothetical protein,88
WZO95314.1,PP681914.1,algae,hypothetical protein,147
WZO95315.1,PP681914.1,algae,P15 mCP,155
WZO95316.1,PP681914.1,algae,MYM-type zinc finger with FCS sequencing motif protein,214
WZO95317.1,PP681914.1,algae,ring finger ubiquitin ligase,227
WZO95318.1,PP681914.1,algae,P16 mCP,92
WZO95319.1,PP681914.1,algae,ribonucleoside-diphosphate reductase small subunit,332
WZO95320.1,PP681914.1,algae,hypothetical protein,173
WZO95321.1,PP681914.1,algae,hypothetical protein,191
WZO95322.1,PP681914.1,algae,DNA primase,441
WZO95323.1,PP681914.1,algae,MIMIVIRE Cas4-like nuclease,312
WZO95324.1,PP681914.1,algae,putative FAD-linked sulfhydryl oxidase,120
WZO95325.1,PP681914.1,algae,RNase III,270
WZO95326.1,PP681914.1,algae,hypothetical protein,61
WZO95327.1,PP681914.1,algae,phage/plasmid primase ATPase,653
WZO95328.1,PP681914.1,algae,P10 mCP,288
WZO95329.1,PP681914.1,algae,glycosyltransferase,272
WZO95330.1,PP681914.1,algae,hypothetical protein,137
WZO95331.1,PP681914.1,algae,lysophospholipase AB abhydrolase,264
WZO95332.1,PP681914.1,algae,hypothetical protein,249
WZO95333.1,PP681914.1,algae,hypothetical protein,775
WZO95334.1,PP681914.1,algae,mRNA capping enzyme beta chain,194
WZO95335.1,PP681914.1,algae,protein disulfide isomerase,106
WZO95336.1,PP681914.1,algae,2-poly prenylphenol 6-hydrolase domain protein kinase/glycosyltransferase,462
WZO95337.1,PP681914.1,algae,hypothetical protein,104
WZO95338.1,PP681914.1,algae,hypothetical protein,308
WZO95339.1,PP681914.1,algae,hypothetical protein,137
WZO95340.1,PP681914.1,algae,MCPv3,52
WZO95341.1,PP681914.1,algae,hypothetical protein,112
WZO95342.1,PP681914.1,algae,glutaredoxin,78
WZO95343.1,PP681914.1,algae,chromosomal protein MC1,108
WZO95344.1,PP681914.1,algae,hypothetical protein,63
WZO95345.1,PP681914.1,algae,putative MCM10,148
